주문번호,주문일시,상품명,구매자성별,구매자나이,주문금액,평점,배송지
38,2025-12-18 09:00:00,기계식키보드,여,40,"35,000원",5.0,광주
39,2025-11-10 01:00:00,노트북,남,33,"900,000원",4.0,광주
40,2025-04-19 20:00:00,헤드셋,남,27,"35,000원",3.0,인천
41,2025-10-21 09:00:00,모니터,여,21,"300,000원",5.0,대구
42,2025-09-17 19:00:00,스마트폰,여,45,"85,000원",2.0,경기
43,2025-08-17 14:00:00,스마트폰,여,38,"35,000원",5.0,인천
44,2025-10-23 19:00:00,기계식키보드,남,47,"85,000원",3.0,광주
45,2025-02-02 07:00:00,무선마우스,여,48,"85,000원",5.0,대전
46,2025-12-09 18:00:00,무선마우스,여,24,"300,000원",4.0,경기
47,2025-05-12 08:00:00,헤드셋,남,47,"85,000원",,서울
48,2025-03-08 01:00:00,모니터,남,45,"300,000원",4.0,광주
49,2025-06-14 07:00:00,무선마우스,남,24,"35,000원",,인천
50,2025-11-11 19:00:00,스마트폰,남,34,"35,000원",4.0,서울
51,2025-05-09 01:00:00,무선마우스,남,28,"85,000원",5.0,인천
52,2025-02-12 13:00:00,모니터,남,51,"300,000원",5.0,대전
53,2025-06-10 03:00:00,스마트폰,여,45,"35,000원",2.0,부산
54,2025-11-29 21:00:00,무선마우스,여,56,"85,000원",5.0,경기
55,2025-10-14 09:00:00,스마트폰,남,34,"1,200,000원",4.0,서울
56,2025-08-25 11:00:00,기계식키보드,여,23,"150,000원",4.0,대전
57,2025-01-07 17:00:00,기계식키보드,남,55,"150,000원",5.0,대구
58,2025-06-29 01:00:00,헤드셋,여,39,"900,000원",,인천
59,2025-02-11 11:00:00,기계식키보드,남,46,"85,000원",5.0,광주
60,2025-11-14 21:00:00,무선마우스,남,40,"150,000원",5.0,서울
61,2025-02-12 08:00:00,모니터,여,41,"1,200,000원",5.0,대전
62,2025-11-24 21:00:00,스마트폰,여,26,"85,000원",5.0,대전
63,2025-09-26 07:00:00,노트북,남,50,"150,000원",,인천
64,2025-11-25 20:00:00,기계식키보드,남,36,"150,000원",5.0,인천
65,2025-10-13 23:00:00,기계식키보드,남,26,"1,200,000원",4.0,인천
66,2025-11-26 20:00:00,노트북,남,38,"300,000원",4.0,서울
67,2025-12-22 09:00:00,노트북,남,47,"150,000원",3.0,서울
68,2025-02-06 14:00:00,무선마우스,남,29,"900,000원",5.0,인천
69,2025-07-23 15:00:00,스마트폰,여,46,"150,000원",,대구
70,2025-07-22 11:00:00,기계식키보드,여,32,"150,000원",5.0,광주
71,2025-09-21 19:00:00,모니터,여,21,"1,200,000원",,경기
72,2025-12-24 03:00:00,무선마우스,여,41,"1,200,000원",4.0,대전
73,2025-12-28 20:00:00,무선마우스,여,39,"85,000원",5.0,인천
74,2025-10-28 08:00:00,모니터,남,24,"900,000원",5.0,대구
75,2025-08-08 20:00:00,모니터,남,25,"35,000원",4.0,경기
76,2025-03-27 22:00:00,헤드셋,여,54,"1,200,000원",5.0,인천
77,2025-01-03 16:00:00,모니터,남,20,"35,000원",4.0,대전
78,2025-11-30 14:00:00,노트북,여,54,"900,000원",5.0,경기
79,2025-04-18 00:00:00,기계식키보드,여,22,"150,000원",5.0,인천
80,2025-08-16 15:00:00,헤드셋,남,55,"85,000원",5.0,서울
81,2025-03-26 11:00:00,노트북,남,26,"150,000원",5.0,인천
82,2025-04-23 07:00:00,헤드셋,여,48,"85,000원",4.0,인천
83,2025-08-08 02:00:00,기계식키보드,여,34,"35,000원",4.0,인천
84,2025-08-23 02:00:00,헤드셋,여,30,"900,000원",3.0,인천
85,2025-10-08 16:00:00,노트북,여,37,"900,000원",4.0,대구
86,2025-01-17 07:00:00,스마트폰,남,23,"1,200,000원",5.0,부산
87,2025-09-03 12:00:00,기계식키보드,여,43,"35,000원",3.0,대구
88,2025-05-29 09:00:00,무선마우스,남,30,"85,000원",5.0,대구
89,2025-09-15 16:00:00,기계식키보드,여,25,"1,200,000원",4.0,서울
90,2025-05-10 03:00:00,기계식키보드,여,37,"35,000원",1.0,인천
91,2025-09-19 14:00:00,기계식키보드,남,34,"1,200,000원",4.0,대구
92,2025-12-16 16:00:00,스마트폰,남,22,"1,200,000원",4.0,경기
93,2025-05-10 08:00:00,노트북,남,36,"900,000원",2.0,인천
94,2025-10-28 15:00:00,무선마우스,남,52,"900,000원",4.0,서울
95,2025-04-13 06:00:00,노트북,남,53,"150,000원",4.0,광주
96,2025-04-24 19:00:00,헤드셋,여,49,"150,000원",4.0,광주
97,2025-12-06 18:00:00,헤드셋,여,38,"900,000원",4.0,서울
98,2025-07-30 16:00:00,헤드셋,여,28,"900,000원",4.0,대전
99,2025-12-04 22:00:00,노트북,남,59,"1,200,000원",2.0,경기
100,2025-06-10 00:00:00,모니터,남,50,"150,000원",1.0,광주
101,2025-02-12 20:00:00,스마트폰,남,46,"900,000원",5.0,서울
102,2025-11-04 17:00:00,모니터,여,44,"35,000원",4.0,광주
103,2025-01-21 22:00:00,헤드셋,남,26,"35,000원",5.0,인천
104,2025-10-15 22:00:00,스마트폰,여,26,"150,000원",4.0,부산
105,2025-10-17 02:00:00,노트북,여,39,"35,000원",,부산
106,2025-07-07 00:00:00,헤드셋,여,55,"85,000원",4.0,대구
107,2025-01-09 14:00:00,노트북,남,38,"1,200,000원",5.0,서울
108,2025-08-02 22:00:00,스마트폰,여,21,"150,000원",4.0,대전
109,2025-09-07 01:00:00,노트북,여,53,"85,000원",5.0,인천
110,2025-11-18 17:00:00,노트북,여,36,"900,000원",5.0,경기
111,2025-10-21 03:00:00,무선마우스,남,43,"85,000원",3.0,경기
112,2025-03-03 20:00:00,모니터,여,28,"35,000원",3.0,인천
113,2025-11-24 10:00:00,모니터,남,20,"1,200,000원",,인천
114,2025-02-05 23:00:00,모니터,남,47,"900,000원",5.0,경기
115,2025-04-27 06:00:00,기계식키보드,여,34,"300,000원",5.0,서울
116,2025-11-05 16:00:00,무선마우스,여,40,"1,200,000원",5.0,광주
117,2025-08-02 04:00:00,헤드셋,남,34,"35,000원",2.0,대구
118,2025-09-08 19:00:00,헤드셋,여,42,"1,200,000원",5.0,대구
119,2025-03-15 05:00:00,헤드셋,남,21,"300,000원",4.0,대구
120,2025-11-12 14:00:00,모니터,남,55,"300,000원",5.0,인천
121,2025-09-23 14:00:00,모니터,남,28,"1,200,000원",5.0,경기
122,2025-10-15 04:00:00,무선마우스,여,21,"900,000원",1.0,대전
123,2025-03-11 22:00:00,노트북,남,21,"85,000원",5.0,대전
124,2025-05-16 02:00:00,모니터,남,37,"900,000원",4.0,경기
125,2025-07-13 04:00:00,헤드셋,여,36,"300,000원",4.0,경기
126,2025-02-14 03:00:00,노트북,여,27,"150,000원",,광주
127,2025-10-05 20:00:00,모니터,남,53,"150,000원",5.0,경기
128,2025-05-12 13:00:00,스마트폰,남,53,"900,000원",2.0,경기
129,2025-09-04 11:00:00,기계식키보드,남,24,"150,000원",5.0,부산
130,2025-04-23 05:00:00,모니터,여,48,"900,000원",4.0,광주
131,2025-06-01 03:00:00,스마트폰,남,47,"35,000원",3.0,인천
132,2025-08-16 02:00:00,무선마우스,남,35,"900,000원",5.0,대전
133,2025-03-11 07:00:00,스마트폰,여,33,"35,000원",2.0,광주
134,2025-08-22 00:00:00,무선마우스,여,21,"85,000원",1.0,인천
135,2025-11-05 00:00:00,모니터,남,59,"300,000원",3.0,부산
136,2025-02-24 10:00:00,무선마우스,여,23,"150,000원",4.0,대구
137,2025-10-10 08:00:00,스마트폰,남,50,"85,000원",2.0,서울
138,2025-09-02 08:00:00,기계식키보드,남,45,"85,000원",5.0,광주
139,2025-11-10 14:00:00,노트북,여,46,"300,000원",4.0,인천
140,2025-08-21 07:00:00,노트북,남,53,"1,200,000원",4.0,인천
141,2025-08-19 10:00:00,기계식키보드,남,50,"1,200,000원",3.0,부산
142,2025-07-03 21:00:00,헤드셋,여,30,"85,000원",4.0,인천
143,2025-06-06 04:00:00,노트북,남,27,"85,000원",4.0,인천
144,2025-01-28 15:00:00,모니터,여,31,"300,000원",4.0,대구
145,2025-03-25 06:00:00,헤드셋,남,54,"900,000원",4.0,부산
146,2025-11-30 02:00:00,모니터,여,53,"900,000원",2.0,광주
147,2025-03-04 07:00:00,스마트폰,여,32,"150,000원",4.0,인천
148,2025-05-18 16:00:00,스마트폰,여,46,"300,000원",5.0,경기
149,2025-06-06 19:00:00,헤드셋,여,27,"1,200,000원",2.0,부산
150,2025-08-07 00:00:00,헤드셋,여,40,"300,000원",4.0,대구
151,2025-03-19 05:00:00,헤드셋,여,30,"300,000원",5.0,광주
152,2025-10-02 09:00:00,헤드셋,남,41,"150,000원",,서울
153,2025-02-23 19:00:00,무선마우스,남,40,"900,000원",5.0,인천
154,2025-05-30 05:00:00,헤드셋,여,47,"85,000원",,경기
155,2025-11-11 18:00:00,헤드셋,남,22,"1,200,000원",5.0,경기
156,2025-10-31 08:00:00,스마트폰,여,26,"150,000원",5.0,서울
157,2025-03-10 04:00:00,모니터,여,33,"1,200,000원",5.0,부산
158,2025-06-04 00:00:00,스마트폰,남,34,"1,200,000원",5.0,대구
159,2025-01-30 02:00:00,노트북,여,28,"900,000원",4.0,인천
160,2025-07-17 09:00:00,무선마우스,남,26,"85,000원",4.0,인천
161,2025-02-05 14:00:00,무선마우스,여,31,"85,000원",5.0,광주
162,2025-12-07 04:00:00,모니터,여,38,"900,000원",5.0,인천
163,2025-09-01 23:00:00,헤드셋,남,46,"150,000원",3.0,경기
164,2025-11-05 00:00:00,스마트폰,여,37,"35,000원",1.0,부산
165,2025-09-30 00:00:00,노트북,여,32,"150,000원",5.0,서울
166,2025-08-07 17:00:00,스마트폰,여,20,"150,000원",5.0,부산
167,2025-08-04 12:00:00,헤드셋,남,57,"35,000원",5.0,대구
168,2025-03-13 03:00:00,헤드셋,남,40,"1,200,000원",,대구
169,2025-08-30 07:00:00,기계식키보드,남,53,"300,000원",4.0,대전
170,2025-08-19 15:00:00,스마트폰,남,32,"35,000원",3.0,서울
171,2025-07-25 11:00:00,모니터,남,42,"300,000원",4.0,경기
172,2025-05-27 06:00:00,스마트폰,여,20,"1,200,000원",5.0,광주
173,2025-01-09 10:00:00,무선마우스,남,42,"35,000원",1.0,서울
174,2025-06-25 18:00:00,노트북,남,47,"900,000원",1.0,광주
175,2025-07-02 21:00:00,모니터,여,51,"150,000원",4.0,대구
176,2025-04-07 23:00:00,기계식키보드,여,27,"35,000원",4.0,경기
177,2025-11-30 12:00:00,노트북,남,45,"35,000원",4.0,부산
178,2025-05-03 03:00:00,노트북,여,33,"1,200,000원",5.0,대구
179,2025-11-21 01:00:00,무선마우스,여,43,"900,000원",5.0,경기
180,2025-01-09 05:00:00,무선마우스,여,48,"35,000원",5.0,경기
181,2025-10-24 21:00:00,무선마우스,남,23,"900,000원",4.0,인천
182,2025-03-22 10:00:00,모니터,여,37,"300,000원",5.0,부산
183,2025-09-19 23:00:00,스마트폰,여,33,"35,000원",5.0,경기
184,2025-06-28 10:00:00,노트북,남,46,"900,000원",4.0,서울
185,2025-04-15 15:00:00,스마트폰,여,22,"150,000원",4.0,광주
186,2025-01-28 11:00:00,스마트폰,여,49,"1,200,000원",5.0,대전
187,2025-04-28 03:00:00,무선마우스,남,55,"85,000원",5.0,부산
188,2025-10-23 18:00:00,스마트폰,남,42,"900,000원",2.0,부산
189,2025-09-30 18:00:00,노트북,남,37,"1,200,000원",1.0,대전
190,2025-03-24 18:00:00,노트북,여,59,"85,000원",1.0,대구
191,2025-12-14 10:00:00,헤드셋,남,29,"35,000원",2.0,부산
192,2025-05-02 07:00:00,기계식키보드,남,31,"35,000원",4.0,부산
193,2025-03-14 06:00:00,모니터,여,27,"300,000원",4.0,인천
194,2025-03-18 19:00:00,스마트폰,여,51,"1,200,000원",3.0,부산
195,2025-12-28 16:00:00,모니터,여,36,"150,000원",5.0,광주
196,2025-05-05 00:00:00,모니터,여,33,"150,000원",,광주
197,2025-03-23 15:00:00,모니터,여,56,"900,000원",3.0,광주
198,2025-08-28 23:00:00,헤드셋,남,28,"150,000원",4.0,경기
199,2025-10-06 22:00:00,모니터,남,45,"85,000원",4.0,대전
200,2025-04-10 09:00:00,헤드셋,남,43,"1,200,000원",5.0,대전
201,2025-07-17 08:00:00,노트북,여,42,"35,000원",5.0,서울
202,2025-03-17 02:00:00,스마트폰,남,50,"1,200,000원",5.0,대전
203,2025-12-06 19:00:00,헤드셋,여,58,"1,200,000원",5.0,광주
204,2025-12-05 08:00:00,기계식키보드,여,21,"35,000원",5.0,인천
205,2025-10-03 16:00:00,모니터,남,37,"85,000원",,인천
206,2025-08-19 14:00:00,기계식키보드,남,35,"1,200,000원",4.0,인천
207,2025-06-19 05:00:00,노트북,여,48,"150,000원",,인천
208,2025-01-11 22:00:00,노트북,여,30,"900,000원",5.0,대구
209,2025-09-19 23:00:00,무선마우스,남,21,"900,000원",5.0,대전
210,2025-03-27 09:00:00,모니터,남,33,"1,200,000원",5.0,인천
211,2025-08-14 23:00:00,무선마우스,여,23,"85,000원",,대구
212,2025-07-09 12:00:00,기계식키보드,여,58,"35,000원",,대구
213,2025-05-10 12:00:00,스마트폰,여,53,"300,000원",3.0,부산
214,2025-10-26 06:00:00,무선마우스,여,58,"85,000원",4.0,서울
215,2025-11-05 08:00:00,노트북,남,28,"1,200,000원",,부산
216,2025-05-13 02:00:00,모니터,남,59,"1,200,000원",4.0,대구
217,2025-04-04 23:00:00,기계식키보드,여,26,"300,000원",4.0,부산
218,2025-02-18 02:00:00,헤드셋,여,36,"900,000원",3.0,경기
219,2025-07-07 11:00:00,노트북,남,42,"85,000원",5.0,대전
220,2025-09-20 07:00:00,헤드셋,여,30,"900,000원",5.0,인천
221,2025-09-16 05:00:00,스마트폰,여,41,"300,000원",3.0,인천
222,2025-03-10 16:00:00,모니터,여,37,"35,000원",5.0,대전
223,2025-08-19 19:00:00,스마트폰,여,47,"1,200,000원",5.0,대전
224,2025-06-24 23:00:00,스마트폰,여,35,"150,000원",4.0,대구
225,2025-12-18 21:00:00,모니터,여,23,"900,000원",3.0,부산
226,2025-04-17 13:00:00,모니터,남,55,"900,000원",5.0,대전
227,2025-08-22 00:00:00,헤드셋,여,41,"85,000원",,경기
228,2025-01-05 02:00:00,스마트폰,남,30,"900,000원",4.0,경기
229,2025-04-02 16:00:00,기계식키보드,남,40,"35,000원",5.0,광주
230,2025-05-04 09:00:00,헤드셋,남,59,"300,000원",5.0,경기
231,2025-07-27 05:00:00,모니터,여,35,"35,000원",4.0,대구
232,2025-07-04 17:00:00,노트북,여,28,"900,000원",5.0,광주
233,2025-04-30 13:00:00,헤드셋,여,54,"85,000원",4.0,부산
234,2025-02-09 20:00:00,무선마우스,남,53,"1,200,000원",5.0,경기
235,2025-12-15 00:00:00,기계식키보드,남,28,"900,000원",4.0,경기
236,2025-08-26 11:00:00,헤드셋,여,32,"1,200,000원",5.0,부산
237,2025-10-17 08:00:00,모니터,여,25,"85,000원",4.0,부산
238,2025-07-07 05:00:00,모니터,남,23,"1,200,000원",4.0,인천
239,2025-07-24 15:00:00,기계식키보드,남,47,"900,000원",4.0,서울
240,2025-06-16 03:00:00,무선마우스,남,30,"900,000원",4.0,서울
241,2025-09-08 15:00:00,헤드셋,여,53,"1,200,000원",5.0,경기
242,2025-02-20 18:00:00,헤드셋,남,54,"35,000원",3.0,부산
243,2025-07-07 08:00:00,스마트폰,남,24,"35,000원",5.0,인천
244,2025-07-17 07:00:00,노트북,남,58,"85,000원",5.0,대구
245,2025-07-09 19:00:00,모니터,여,30,"35,000원",5.0,서울
246,2025-12-02 10:00:00,헤드셋,여,31,"150,000원",4.0,광주
247,2025-05-24 14:00:00,헤드셋,여,38,"1,200,000원",5.0,서울
248,2025-02-13 13:00:00,헤드셋,남,32,"150,000원",4.0,부산
249,2025-10-15 05:00:00,무선마우스,남,23,"150,000원",3.0,대전
250,2025-03-12 13:00:00,노트북,남,33,"1,200,000원",4.0,대구
251,2025-05-24 04:00:00,헤드셋,남,21,"150,000원",5.0,서울
252,2025-09-03 15:00:00,기계식키보드,여,27,"85,000원",5.0,대전
253,2025-05-20 18:00:00,모니터,남,41,"85,000원",5.0,인천
254,2025-01-10 09:00:00,스마트폰,남,32,"1,200,000원",4.0,서울
255,2025-07-23 21:00:00,기계식키보드,여,40,"300,000원",5.0,부산
256,2025-10-20 14:00:00,모니터,남,40,"300,000원",4.0,부산
257,2025-08-22 08:00:00,무선마우스,남,47,"1,200,000원",4.0,광주
258,2025-11-30 04:00:00,노트북,남,52,"1,200,000원",,광주
259,2025-11-17 03:00:00,노트북,여,48,"1,200,000원",4.0,대구
260,2025-07-13 10:00:00,모니터,남,56,"35,000원",4.0,서울
261,2025-11-16 23:00:00,기계식키보드,여,41,"1,200,000원",5.0,대구
262,2025-12-09 00:00:00,스마트폰,남,45,"85,000원",3.0,대전
263,2025-11-02 19:00:00,무선마우스,여,30,"85,000원",5.0,서울
264,2025-04-02 21:00:00,모니터,여,30,"900,000원",5.0,경기
265,2025-02-14 13:00:00,무선마우스,여,53,"300,000원",4.0,서울
266,2025-05-24 12:00:00,노트북,남,38,"300,000원",5.0,부산
267,2025-02-14 04:00:00,헤드셋,남,56,"1,200,000원",5.0,부산
268,2025-04-07 23:00:00,헤드셋,여,33,"300,000원",4.0,경기
269,2025-05-23 12:00:00,스마트폰,여,48,"1,200,000원",3.0,서울
270,2025-01-13 13:00:00,무선마우스,남,38,"1,200,000원",,서울
271,2025-01-26 06:00:00,모니터,여,56,"300,000원",5.0,부산
272,2025-05-13 02:00:00,스마트폰,남,40,"300,000원",5.0,경기
273,2025-01-30 03:00:00,기계식키보드,남,43,"900,000원",5.0,부산
274,2025-08-01 00:00:00,헤드셋,여,45,"150,000원",4.0,대전
275,2025-01-08 22:00:00,모니터,여,31,"900,000원",5.0,경기
276,2025-02-10 20:00:00,무선마우스,남,38,"900,000원",5.0,부산
277,2025-05-04 23:00:00,스마트폰,남,49,"300,000원",4.0,인천
278,2025-09-12 06:00:00,모니터,남,34,"85,000원",5.0,서울
279,2025-02-19 08:00:00,스마트폰,여,22,"900,000원",4.0,대구
280,2025-05-19 15:00:00,스마트폰,남,32,"85,000원",5.0,인천
281,2025-05-22 10:00:00,스마트폰,여,28,"300,000원",5.0,부산
282,2025-12-13 15:00:00,무선마우스,여,32,"35,000원",3.0,경기
283,2025-03-17 16:00:00,모니터,남,35,"1,200,000원",3.0,대구
284,2025-09-01 22:00:00,노트북,여,33,"150,000원",4.0,경기
285,2025-10-07 13:00:00,노트북,여,27,"85,000원",5.0,광주
286,2025-01-24 17:00:00,무선마우스,여,38,"35,000원",5.0,경기
287,2025-08-15 18:00:00,무선마우스,여,51,"85,000원",5.0,광주
288,2025-03-20 23:00:00,헤드셋,남,54,"1,200,000원",4.0,대전
289,2025-04-24 21:00:00,스마트폰,남,42,"1,200,000원",5.0,광주
290,2025-06-10 23:00:00,모니터,여,40,"150,000원",1.0,서울
291,2025-11-07 15:00:00,모니터,여,37,"900,000원",4.0,부산
292,2025-06-17 06:00:00,기계식키보드,여,33,"1,200,000원",2.0,서울
293,2025-03-12 06:00:00,기계식키보드,여,35,"150,000원",,광주
294,2025-05-06 09:00:00,노트북,여,43,"85,000원",4.0,경기
295,2025-11-22 06:00:00,기계식키보드,남,51,"85,000원",4.0,서울
296,2025-01-07 10:00:00,기계식키보드,남,30,"85,000원",4.0,인천
297,2025-02-28 17:00:00,노트북,남,30,"85,000원",5.0,대전
298,2025-02-02 16:00:00,헤드셋,남,23,"85,000원",5.0,광주
299,2025-12-04 08:00:00,노트북,여,45,"300,000원",5.0,경기
300,2025-11-12 00:00:00,기계식키보드,여,24,"1,200,000원",4.0,경기
301,2025-11-02 23:00:00,모니터,남,55,"1,200,000원",,인천
302,2025-10-28 06:00:00,기계식키보드,남,52,"900,000원",,경기
303,2025-08-22 04:00:00,스마트폰,남,33,"900,000원",1.0,대구
304,2025-08-30 17:00:00,스마트폰,여,51,"300,000원",5.0,대구
305,2025-04-27 22:00:00,스마트폰,여,26,"1,200,000원",4.0,부산
306,2025-01-23 09:00:00,헤드셋,여,29,"900,000원",5.0,부산
307,2025-09-07 10:00:00,무선마우스,남,21,"150,000원",5.0,서울
308,2025-03-18 17:00:00,스마트폰,남,29,"85,000원",4.0,서울
309,2025-12-30 04:00:00,모니터,여,54,"85,000원",,대전
310,2025-10-18 11:00:00,헤드셋,여,40,"1,200,000원",4.0,인천
311,2025-08-23 09:00:00,무선마우스,여,59,"85,000원",5.0,인천
312,2025-05-03 22:00:00,무선마우스,남,27,"85,000원",5.0,광주
313,2025-11-30 00:00:00,스마트폰,여,37,"150,000원",3.0,대전
314,2025-07-19 04:00:00,기계식키보드,여,28,"35,000원",4.0,경기
315,2025-04-09 16:00:00,노트북,남,49,"300,000원",3.0,부산
316,2025-10-05 07:00:00,기계식키보드,여,23,"900,000원",5.0,광주
317,2025-12-07 13:00:00,기계식키보드,여,54,"35,000원",5.0,부산
318,2025-07-07 07:00:00,무선마우스,여,33,"900,000원",4.0,부산
319,2025-09-08 02:00:00,무선마우스,여,33,"35,000원",1.0,부산
320,2025-10-03 14:00:00,헤드셋,남,56,"85,000원",4.0,서울
321,2025-09-04 15:00:00,헤드셋,여,39,"900,000원",5.0,대구
322,2025-02-05 13:00:00,무선마우스,남,48,"300,000원",5.0,광주
323,2025-06-22 18:00:00,모니터,여,42,"1,200,000원",4.0,인천
324,2025-06-07 01:00:00,모니터,남,40,"150,000원",4.0,인천
325,2025-01-24 22:00:00,노트북,여,50,"35,000원",4.0,부산
326,2025-02-17 20:00:00,무선마우스,여,51,"150,000원",1.0,부산
327,2025-09-20 05:00:00,스마트폰,남,26,"150,000원",2.0,서울
328,2025-09-27 01:00:00,헤드셋,여,32,"900,000원",3.0,서울
329,2025-11-09 21:00:00,무선마우스,여,42,"1,200,000원",5.0,인천
330,2025-07-19 01:00:00,모니터,남,27,"900,000원",4.0,부산
331,2025-06-10 14:00:00,무선마우스,여,31,"150,000원",4.0,부산
332,2025-04-14 19:00:00,모니터,여,55,"85,000원",5.0,대전
333,2025-05-11 04:00:00,무선마우스,여,35,"300,000원",5.0,광주
334,2025-08-26 03:00:00,스마트폰,여,45,"1,200,000원",5.0,인천
335,2025-05-08 03:00:00,노트북,여,48,"1,200,000원",3.0,서울
336,2025-01-01 04:00:00,스마트폰,남,48,"85,000원",,광주
337,2025-08-06 14:00:00,모니터,남,25,"150,000원",2.0,인천
338,2025-08-10 11:00:00,헤드셋,여,56,"900,000원",4.0,서울
339,2025-07-22 21:00:00,헤드셋,여,52,"85,000원",,서울
340,2025-02-06 12:00:00,기계식키보드,남,50,"300,000원",5.0,광주
341,2025-10-20 19:00:00,스마트폰,남,37,"35,000원",5.0,광주
342,2025-06-22 14:00:00,무선마우스,남,57,"900,000원",4.0,서울
343,2025-10-18 06:00:00,노트북,남,50,"1,200,000원",2.0,부산
344,2025-10-22 23:00:00,무선마우스,남,35,"85,000원",4.0,인천
345,2025-11-29 19:00:00,무선마우스,남,59,"900,000원",4.0,서울
346,2025-10-11 07:00:00,스마트폰,여,56,"35,000원",4.0,대구
347,2025-07-06 01:00:00,노트북,여,33,"300,000원",4.0,대전
348,2025-01-27 11:00:00,기계식키보드,여,58,"85,000원",4.0,서울
349,2025-03-12 13:00:00,무선마우스,여,23,"300,000원",5.0,서울
350,2025-07-18 00:00:00,노트북,여,49,"35,000원",,광주
351,2025-12-13 07:00:00,기계식키보드,남,52,"35,000원",5.0,서울
352,2025-02-04 14:00:00,무선마우스,남,55,"150,000원",5.0,대전
353,2025-08-04 17:00:00,노트북,남,49,"1,200,000원",4.0,경기
354,2025-12-13 04:00:00,스마트폰,남,33,"150,000원",3.0,광주
355,2025-09-05 21:00:00,헤드셋,남,42,"900,000원",4.0,대구
356,2025-04-29 06:00:00,헤드셋,남,47,"35,000원",4.0,부산
357,2025-02-17 22:00:00,무선마우스,여,26,"150,000원",5.0,대전
358,2025-11-12 00:00:00,무선마우스,여,29,"1,200,000원",,광주
359,2025-03-22 11:00:00,노트북,남,23,"1,200,000원",5.0,인천
360,2025-03-11 08:00:00,헤드셋,여,57,"35,000원",4.0,인천
361,2025-02-15 01:00:00,무선마우스,남,32,"85,000원",5.0,광주
362,2025-01-22 08:00:00,기계식키보드,여,40,"150,000원",4.0,인천
363,2025-11-22 05:00:00,무선마우스,남,52,"300,000원",3.0,광주
364,2025-08-07 05:00:00,헤드셋,남,59,"35,000원",4.0,부산
365,2025-01-24 07:00:00,모니터,여,47,"900,000원",5.0,서울
366,2025-06-03 00:00:00,헤드셋,남,42,"150,000원",5.0,대구
367,2025-11-05 12:00:00,기계식키보드,여,51,"150,000원",4.0,인천
368,2025-05-20 07:00:00,노트북,여,24,"35,000원",3.0,경기
369,2025-06-19 14:00:00,기계식키보드,남,45,"85,000원",2.0,경기
370,2025-01-25 04:00:00,모니터,남,58,"150,000원",3.0,대구
